TikTok Metadata,,,,,,,,,,,,Song Metadata,,,,,Time Length,,,BPM,,Lyrics,,,,,,
Song Rank,Link,Video File Name,Creator,Follower Count,Category,Verified?,Like Count,View Count,Like Count (M),View Count (M),Post Date,Name,Artist,Genre,Release Year,"Notes (remixed, another audio overlayed, etc)",Length of Song,Clip Timestamp,Clip Length (sec),Avg BPM of Full Song,Avg BPM of Clip,Full - Total word #,Full - Total unique word#,Full - Repetition Ratio,Clip - Total word #,Clip - Total unique word#,Clip - Repetition Ratio,Clip Location
1,https://www.tiktok.com/@amarianiyaa/video/7504118311492373802?_r=1&_t=ZT-95Btcfv8Xkr,PrettyLittleBaby_1,@amarianiyaa,"164,800",Wholesome/Emotional,0,21.4M,115.5M,21.4,115.5,5/13/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:47,16,121,121,199,70,0.6482,52,36,0.3077,Verse
1,https://www.tiktok.com/@christiecharm/video/7498816166710791442?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_2,@christiecharm,"2,600,000",Lip Sync,0,12.5M,90.5M,12.5,90.5,4/29/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:44,13,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@oceanicglow3/video/7535666693339630903?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_3,@oceanicglow3,"1,000,000",Animals,0,9.5M,117.2M,9.5,117.2,8/6/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 1:37,66,121,,199,70,0.6482,,,,
1,https://www.tiktok.com/@ciklalyfernandez06/video/7500459815567789358?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_4,@ciklalyfernandez06,"1,100,000",Lip Sync,0,8M,70M,8,70,5/4/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:40,9,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@brijoles_/video/7503685598272589099?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_5,@brijoles_,"113,200",Animals,0,7.1M,36.1M,7.1,36.1,5/12/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:43,12,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@bubblesbobita/video/7507252992047992107?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_6,@bubblesbobita,"53,400",Animals,0,6.5M,27.4M,6.5,27.4,5/22/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:40,9,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@sammielys/video/7512585614978649390?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_7,@sammielys,"7,100",Aesthetic,0,4.9M,33.5M,4.9,33.5,6/5/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:44,13,121,,199,70,0.6482,,,,Verse
1,https://www.tiktok.com/@couture.to.the.max/video/7514349771985833262?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_8,@couture.to.the.max,"3,700,000",Aesthetic,0,4.9M,39.8M,4.9,39.8,6/10/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 1:32,61,121,,199,70,0.6482,,,,
1,https://www.tiktok.com/@animalsbehaviour/video/7530143812136602911?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_9,@animalsbehaviour,"655,600",Animals,0,4.4M,38.9M,4.4,38.9,7/23/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 1:31,60,121,,199,70,0.6482,,,,
1,https://www.tiktok.com/@brookemonk_/video/7504411471988804894?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,PrettyLittleBaby_10,@brookemonk_,"46,500,000",Tutorial,1,4.3M,34.3M,4.3,34.3,5/14/25,Pretty Little Baby,Connie Francis,Pop,1962,,2:22,0:31 - 0:46,15,121,,199,70,0.6482,,,,Verse
2,https://www.tiktok.com/@bben9450/video/7523242837467598102?_r=1&_t=ZT-95BtYuVmUfu,HoldMyHand_1,@bben9450,"192,900",Humor,0,42.2M,344.2M,42.2,344.2,7/4/25,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:54,5,123,,196,84,0.5714,40,25,0.3750,Chorus
2,https://www.tiktok.com/@ogsyde/video/7533031324186086678?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_2,@ogsyde,"123,200",Animals,0,20.6M,216.4M,20.6,216.4,7/30/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:55,6,123,,196,,,,,,
2,https://www.tiktok.com/@eagleyes2/video/7539696675376450830?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_3,@eagleyes2,"45,600",Humor,0,17.2M,179.2M,17.2,179.2,8/17/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 1:11,22,123,,196,,,,,,
2,https://www.tiktok.com/@lovedby4bxnia/video/7529657626947374349?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_4,@lovedby4bxnia,"54,500",Humor,0,16.7M,129.3M,16.7,129.3,7/21/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:54,5,123,,196,,,,,,
2,https://www.tiktok.com/@outdoor_comp/video/7529744962682948870?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_5,@outdoor_comp,"114,800",Humor,0,16.7M,380.4M,16.7,380.4,7/22/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:56,7,123,,196,,,,,,
2,https://www.tiktok.com/@d5l1ko/video/7523981366543879446?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_6,@d5l1ko,"28,500",Humor,0,16.3M,173.8M,16.3,173.8,7/6/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:57,8,123,,196,,,,,,
2,https://www.tiktok.com/@nenepet99/video/7518009850849447175?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_7,@nenepet99,"39,000",Humor,0,15.6M,163.7M,15.6,163.7,6/20/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:57,8,123,,196,,,,,,
2,https://www.tiktok.com/@abigailmstowe/video/7516946864562965762?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_8,@abigailmstowe,"18,100",Humor,0,15.2M,91.5M,15.2,91.5,6/17/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 1:02,13,123,,196,,,,,,
2,https://www.tiktok.com/@sawyers.8._/video/7541049936268233990?is_from_webapp=1&sender_device=pc&web_id=7623783917820364302,HoldMyHand_9,@sawyers.8._,"57,500",Humor,0,14.5M,162.2M,,,8/21/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:58,9,123,,196,,,,,,
2,https://www.tiktok.com/@dvolchenko08/video/7527751737021713670,HoldMyHand_10,@dvolchenko08,"32,000",Humor,0,14M,132.3M,,,7/16/2025,Hold My Hand,Jess Glynne,Dancehall,2015,Overlayed w/ Jet 2 Holiday,3:47,0:49 - 0:58,9,123,,,,,,,,
